qID	sentence	option1	option2	answer	catégories syntaxiques	catégories sémantiques
38G0E1M85OJHKHF44WPVK5AIL6SUV4-2	Donald was poorer than Leslie was because companies had found oil on the property of _ .	Donald	Leslie	2	BECAUSE	comparaison degré
3THR0FZ95R7JB7JDU6BGYQKRCK0OLW-2	Feeling a draft, William asked Neil to please close the front door because _ was closer.	William	Neil	2	BECAUSE (+ _ was + adv degré/nom)	cause-conséquence
3THR0FZ95R7JB7JDU6BGYQKRCK0OLW-1	Feeling a draft, William asked Neil to please close the front door because _ was farther away.	William	Neil	1	BECAUSE (+ _ was + adv degré/nom)	cause-conséquence
3SV8KD29L4Q5WGGVRHYW7QQ8EEZZKB-2	Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the kung pao chicken for dinner.	Lindsey	Megan	2	BUT	finalité (résultat logique)
3SV8KD29L4Q5WGGVRHYW7QQ8EEZZKB-1	Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the Peking Duck for dinner.	Lindsey	Megan	1	BUT	finalité (résultat logique)
3RSBJ6YZEE4XBF9H8V8I3DF7F0UFOM-2	Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a loyal customer.	Elena	Megan	2	BECAUSE (+ _ was + adv degré/nom)	cause-conséquence
3RSBJ6YZEE4XBF9H8V8I3DF7F0UFOM-1	Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a businessperson.	Elena	Megan	1	BECAUSE (+ _ was + adv degré/nom)	cause-conséquence
3TCFMTM8HEMDK4RXU0J0F0K2KZI21L-2	Kenneth asked Dennis what time the dance was being held, but _ had forgotten.	Kenneth	Dennis	2	BUT	
3TCFMTM8HEMDK4RXU0J0F0K2KZI21L-1	Kenneth asked Dennis what time the dance was being held, because _ had forgotten.	Kenneth	Dennis	1	BECAUSE	cause -conséquence
3S4TINXCC217YYX13TMMKNON1TXBOG-1	Eric was teaching all of the proper stretches to Neil, because _ was using them to get paid.	Eric	Neil	1	BECAUSE	cause-conséquence
3S4TINXCC217YYX13TMMKNON1TXBOG-2	Eric was teaching all of the proper stretches to Neil, because _ was using them to get in shape.	Eric	Neil	2	BECAUSE	cause-conséquence
36MUZ9VAE8GE14IWNBAWA1I8ZL8DE5-2	When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 5 bedroom house.	Patricia	Tanya	2	AS + SO	comparaison degré
36MUZ9VAE8GE14IWNBAWA1I8ZL8DE5-1	When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 1 bedroom house.	Patricia	Tanya	1	AS + SO	comparaison degré 
3E9ZFLPWOYQPLQQSQWPZXPVKJR3IXG-2	I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too small.	tweezer	wristlet	2	BUT	cause imprévisible
3E9ZFLPWOYQPLQQSQWPZXPVKJR3IXG-1	I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too big.	tweezer	wristlet	1	BUT	cause imprévisible
3PCPFX4U40OL22NQ3AOM0KMZ1FFFQD-1	Handling emergencies was never very difficult for Kevin but it was for Nelson because _ could remain calm under pressure.	Kevin	Nelson	1	BUT + BECAUSE	comparaison
3PCPFX4U40OL22NQ3AOM0KMZ1FFFQD-2	Handling emergencies was never very difficult for Kevin but it was for Nelson because _ wasn't able to remain calm under pressure.	Kevin	Nelson	2	BUT + BECAUSE	comparaison
3P4C70TRMTVVJU2F6NY8THBPLKALGF-1	Emily asked her sister Sarah if she needed any tampons or pads from the store, even though _ didn't because she had switched to using menstrual cups.	Emily	Sarah	1	BECAUSE	cause-conséquence
3P4C70TRMTVVJU2F6NY8THBPLKALGF-2	Emily asked her sister Sarah if she needed any tampons or pads from the store, but _ didn't because she had switched to using menstrual cups.	Emily	Sarah	2	BUT + BECAUSE	cause-conséquence
3R6RZGK0XHQY1QZ9EXMKNQGVHU3YV6-2	Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies.	Elena	Tanya	2	SINCE	implication
3R6RZGK0XHQY1QZ9EXMKNQGVHU3YV6-1	Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was susceptible to allergies.	Elena	Tanya	1	SINCE	implication
3HJ1EVZS2OHQYRMXWUCK4177UA4R37-1	Rebecca picked up Amy to carpool to work every day, so _ asked for some gas money.	Rebecca	Amy	1	SO	cause-conséquence
3HJ1EVZS2OHQYRMXWUCK4177UA4R37-2	Rebecca picked up Amy to carpool to work every day, so _ offered some gas money.	Rebecca	Amy	2	SO	cause-conséquence
3BDORL6HKKBEBRIGPNNLX4B158XCRH-2	Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was reassuring.	Jennifer	Erin	2	ø	Implication
3BDORL6HKKBEBRIGPNNLX4B158XCRH-1	Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was embarrassed.	Jennifer	Erin	1	ø	Implication
34D9ZRXCYT8HDGK24W3Z9HEIG7ISAG-1	The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was loud.	party	alcohol	1	ø	conséquence-cause
34D9ZRXCYT8HDGK24W3Z9HEIG7ISAG-2	The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was copious.	party	alcohol	2	ø	conséquence-cause
39WSF6KUV2JQBCAETMCCTX6ZAD1OEF-2	Once in Poland, Dennis enjoyed the trip more than Jason because _ had a shallow understanding of the Polish language.	Dennis	Jason	2	MORE THAN + BECAUSE	comparaison degré
39WSF6KUV2JQBCAETMCCTX6ZAD1OEF-1	Once in Poland, Dennis enjoyed the trip more than Jason because _ had a deeper understanding of the Polish language.	Dennis	Jason	1	MORE THAN + BECAUSE	comparaison degré
3CMV9YRYP5F5AWSGETJBQU35DCRLJJ-1	The house Benjamin designed for Joseph was beautiful, so _ used it in his portfolio.	Benjamin	Joseph	1	SO	Implication
3CMV9YRYP5F5AWSGETJBQU35DCRLJJ-2	The house designed for Benjamin by Joseph was beautiful, so _ used it in his portfolio.	Benjamin	Joseph	2	SO	Implication
3YLTXLH3DF4KGMDHYNXX3082HG2HPN-2	John poured the entire bowl of fish into the hot pan on the stove until the _ was full.	bowl	pan	2	UNTIL	Finalité 
3YLTXLH3DF4KGMDHYNXX3082HG2HPN-1	John poured the entire bowl of fish into the hot pan on the stove until the _ was empty.	bowl	pan	1	UNTIL	Finalité 
3L1EFR8WWVJU4S5B66P06NKJLV1F9S-2	Sue wanted to practice meditation so she went to the gym with her class but the _ was too busy.	class	gym	2	SO + BUT	Cause imprévisile
3L1EFR8WWVJU4S5B66P06NKJLV1F9S-1	Sue wanted to practice meditation so she went to the gym with her class but the _ was too late.	class	gym	1	SO + BUT	Cause imprévisile
3MDKGGG61QL2BPM7JLFDBJK9SLJ6TJ-2	Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big diamond.	Natalie	Betty	2	BUT (mais 2phrases ø?)	comparaison de préférence
3MDKGGG61QL2BPM7JLFDBJK9SLJ6TJ-1	Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big emerald.	Natalie	Betty	1	BUT (mais 2phrases ø?)	comparaison de préférence
3XEIP58NL21VABXKWFMXEORVWA4ZLI-1	Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for him.	Aaron	Benjamin	1	ø	Implication
3XEIP58NL21VABXKWFMXEORVWA4ZLI-2	Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for himself.	Aaron	Benjamin	2	ø	Implication
3K3G488TR26T05U1XYBDE8VMH5FQ5S-2	Kevin is far more physically versatile than Nick, because _ is an injured athlete in bed.	Kevin	Nick	2	BECAUSE	comparaison degré
3K3G488TR26T05U1XYBDE8VMH5FQ5S-1	Kevin is far more physically versatile than Nick, because _ is a seasoned athlete in training.	Kevin	Nick	1	BECAUSE	comparaison degré 
3DQYSJDTYL9D5LO6UDZ8CAXSMH5XES-1	Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was lazy.	Adam	Aaron	1	BUT + AS	Comparaison de préférence
3DQYSJDTYL9D5LO6UDZ8CAXSMH5XES-2	Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was conscientious.	Adam	Aaron	2	BUT + AS	Comparaison de préférence
3QGHA0EA0JY09I7WAH1W9JD0AKWWBC-2	Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for plum season.	Kyle	Matthew	2	BUT (mais 2phrases ø?)	comparaison de préférence
3QGHA0EA0JY09I7WAH1W9JD0AKWWBC-1	Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for apricot season.	Kyle	Matthew	1	BUT (mais 2phrases ø?)	comparaison de préférence
3RTFSSG7T84CMRT81UQQNM95RWELWX-2	Derrick was unable to stay focused at work unlike Justin, because _ had a fun job.	Derrick	Justin	2	BECAUSE	comparaison
3RTFSSG7T84CMRT81UQQNM95RWELWX-1	Derrick was unable to stay focused at work unlike Justin, because _ had a boring job.	Derrick	Justin	1	BECAUSE	comparaison
3Z33IC0JC0K460SUMNI4WBZWKULV9S-2	Avery was debating on taking up German instead of Latin, because the _ was newer.	Latin	German	2	INSTEAD + BECAUSE	comparaison
3Z33IC0JC0K460SUMNI4WBZWKULV9S-1	Avery was debating on taking up German instead of Latin, because the _ was old.	Latin	German	1	INSTEAD + BECAUSE	comparaison
31JUPBOORN21WQXQ3RAK966J43ML8G-2	Kayla dated many more people at once than Betty, because _ was in an open relationship.	Kayla	Betty	2	BECAUSE	comparaison degré
31JUPBOORN21WQXQ3RAK966J43ML8G-1	Kayla dated many more people at once than Betty, because _ was in an exclusive relationship.	Kayla	Betty	1	BECAUSE	comparaison degré
3WKGUBL7SZK0DPAOROK7SUQE73EL4A-1	Steven proudly showed Michael the mangoes he grew himself all this summer.  _ is hardworking.	Steven	Michael	1	ø	Implication
3WKGUBL7SZK0DPAOROK7SUQE73EL4A-2	Steven proudly showed Michael the mangoes he grew himself all this summer.  _ is astonished.	Steven	Michael	2	ø	Implication
3QGTX7BCHRGH8MUZ4S6QXZVYAK4Z5U-1	The letter that Joel has written is being read by Adam, so _ is the writer.	Joel	Adam	1	SO	cause-conséquence
3QGTX7BCHRGH8MUZ4S6QXZVYAK4Z5U-2	The letter that Joel has written is being read by Adam, so _ is the editor.	Joel	Adam	2	SO	cause-conséquence
3P4ZBJFX2XH5GOIJZHZSK7STICEFW3-1	Kyle was more comfortable speaking in front of large groups than Nick, because _ had taken public speaking courses in college.	Kyle	Nick	1	BECAUSE	comparaison degré
3P4ZBJFX2XH5GOIJZHZSK7STICEFW3-2	Kyle was more comfortable speaking in front of large groups than Nick, because _ was not able to take public speaking courses in college.	Kyle	Nick	2	BECAUSE (+was not)	comparaison degré 
34OWYT6U3WFZKU8UNGJLHM92CQ3I9S-2	In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very hesitant with showing their body.	Emily	Felicia	2	WHILE (+ ø)	comparaison
34OWYT6U3WFZKU8UNGJLHM92CQ3I9S-1	In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very free with showing their body.	Emily	Felicia	1	WHILE (+ ø)	comparaison
33K3E8REWWTWWKEFHAD8K016GUUX8H-2	Sarah Jane's watch smashed when the book hit it since the _ was too strong.	watch	book	2	SINCE	conséquence-cause
33K3E8REWWTWWKEFHAD8K016GUUX8H-1	Sarah Jane's watch smashed when the book hit it since the _ was too weak.	watch	book	1	SINCE	conséquence-cause
3WPCIUYH1A61WY1MT8NRHPU19DUTDY-1	Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a bank.	Joseph	Kevin	1	BUT + BECAUSE	comparaison
3WPCIUYH1A61WY1MT8NRHPU19DUTDY-2	Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a farm.	Joseph	Kevin	2	BUT + BECAUSE	comparaison
3XAOZ9UYR1596CSPG9L13G6DTFDQ10-2	While out playing golf, Dennis fell in the mud, but Christopher kept their balance because _ had spiked shoes on.	Dennis	Christopher	2	BUT + BECAUSE	comparaison
3XAOZ9UYR1596CSPG9L13G6DTFDQ10-1	While out playing golf, Dennis fell in the mud, but Christopher kept their balance, because _ had slippery shoes on.	Dennis	Christopher	1	BUT + BECAUSE	comparaison
3G9UA71JVX86VB3EAZI17PL5KCMJ7G-2	I couldn't control the moisture like I controlled the rain, because the _ was coming in at one spot.	moisture	rain	2	BECAUSE	consequence-cause
3G9UA71JVX86VB3EAZI17PL5KCMJ7G-1	I couldn't control the moisture like I controlled the rain, because the _ was coming in everywhere.	moisture	rain	1	BECAUSE	consequence-cause
3R6RZGK0XHQY1QZ9EXMKNQGWJ4SVYG-1	Leslie was fascinated with collecting new shoes compared to Derrick, because _ loved fashion trends.	Leslie	Derrick	1	BECAUSE	comparaison de préférence
3R6RZGK0XHQY1QZ9EXMKNQGWJ4SVYG-2	Leslie was fascinated with collecting new shoes compared to Derrick, because _ hated fashion trends.	Leslie	Derrick	2	BECAUSE	comparaison de préférence
3SU800BH886PF9JNIXVLEIBA4ORQU4-2	Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. _ bought a ticket to the jazz concert.	Jessica	Patricia	2	BUT (+ ø)	comparaison de préférence
3SU800BH886PF9JNIXVLEIBA4ORQU4-1	Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. _ bought a ticket to the Darude rave.	Jessica	Patricia	1	BUT (+ ø)	comparaison de préférence
3EHVO81VN5JHZUUFDLM724Q4E0O1HV-2	Bill poured the entire bowl of cheese snack into his mouth until the _ was empty.	mouth	bowl	2	UNTIL	Finalité 
3EHVO81VN5JHZUUFDLM724Q4E0O1HV-1	Bill poured the entire bowl of cheese snack into his mouth until the _ was full.	mouth	bowl	1	UNTIL	Finalité 
3126F2F5F818WCMF8MPRIXBPP0LEPF-2	Ben played soccer and bowling every week. However, it was easy for him to play in the _ game because he hurt his arm.	bowling	soccer	2	HOWEVER + BECAUSE	
3126F2F5F818WCMF8MPRIXBPP0LEPF-1	Ben played soccer and bowling every week. However, it was difficult for him to play in the _ game because he hurt his arm.	bowling	soccer	1	HOWEVER + BECAUSE	
3J94SKDEKINZBWQWSC5TE9ONT9BD5S-1	Nick had a bigger dog than Craig because _ fed their dog much more food.	Nick	Craig	1	THAN + BECAUSE	comparaison degré
3J94SKDEKINZBWQWSC5TE9ONT9BD5S-2	Nick had a smaller dog than Craig because _ fed their dog much more food.	Nick	Craig	2	THAN + BECAUSE	comparaison dégré
33CLA8O0MI9LE32QGPDM5AW4X5DRFU-1	There was more shade in the yard of Christine than there was in the yard of Victoria because _ had more plants.	Christine	Victoria	1	THAN + BECAUSE	comparaison degré 
33CLA8O0MI9LE32QGPDM5AW4X5DRFU-2	There was more shade in the yard of Christine than there was in the yard of Victoria because _ had less plants.	Christine	Victoria	2	THAN + BECAUSE	comparaison degré 
3OND0WXMHYTVDKNY97TM1MX6R3AHE7-2	Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sour foods.	Kyle	Steven	2	ø	comparaison de préférence
3OND0WXMHYTVDKNY97TM1MX6R3AHE7-1	Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sweet foods.	Kyle	Steven	1	ø	comparaison de préférence
3MA5N0ATTC912LBQGUEP8MWQ2XXKWJ-2	Since Benjamin ate unhealthy desserts far more frequently than Brett, _ had strong will power.	Benjamin	Brett	2	THAN	comparaison
3MA5N0ATTC912LBQGUEP8MWQ2XXKWJ-1	Since Benjamin ate unhealthy desserts far more frequently than Brett, _ had weak will power.	Benjamin	Brett	1	THAN	comparaison
3QHITW7OYO7Q6B6ISU2UMJB89I2AQ2-1	Eric asked Michael on a date to go to the movies on Friday night because _ was very confident.	Eric	Michael	1	BECAUSE	
3QHITW7OYO7Q6B6ISU2UMJB89I2AQ2-2	Eric asked Michael on a date to go to the movies Friday night because _ was very attractive.	Eric	Michael	2	BECAUSE	
3M4KL7H8KVL125AYH2V35D1E5OH167-2	Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ tries to use it less.	Amy	Kayla	2	BUT + SO	
3M4KL7H8KVL125AYH2V35D1E5OH167-1	Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ always leaves the house.	Amy	Kayla	1	BUT + SO	
3R5OYNIC2C7ALV4CYHEMHJBQSB1PTB-2	Eric looked at Neil in shock and started to react violently because _ lied to him.	Eric	Neil	2	BECAUSE	
3R5OYNIC2C7ALV4CYHEMHJBQSB1PTB-1	Eric looked at Neil in shock and started to react violently because _ felt betrayed.	Eric	Neil	1	BECAUSE	
3PN6H8C9R4OWH22DN8WAMK49Q47DAW-2	Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the painful experience from _ made a lot of sense.	Matthew	Jeffrey	2	UNLIKE + SO	comparaison
3PN6H8C9R4OWH22DN8WAMK49Q47DAW-1	Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the agreeable experience from _ made a lot of sense.	Matthew	Jeffrey	1	UNLIKE + SO	comparaison
3XWUWJ18TN4H72Q4Z6FQOJ8Z7XHUU9-2	Samantha brought a get well card to the hospital but Emily forgot to because _ was preoccupied.	Samantha	Emily	2	BUT + BECAUSE	
3XWUWJ18TN4H72Q4Z6FQOJ8Z7XHUU9-1	Samantha brought a get well card to the hospital but Emily forgot to because _ was thoughtful.	Samantha	Emily	1	BUT + BECAUSE	
3ZXNP4Z39TZCQ1REDKUEN4YXNY17L9-2	Jessica took off the gloves and gave them to Katrina because _ 's hands were cold.	Jessica	Katrina	2	BECAUSE	
3ZXNP4Z39TZCQ1REDKUEN4YXNY17L9-1	Jessica took off the gloves and gave them to Katrina because _ 's hands were warm.	Jessica	Katrina	1	BECAUSE	
306W7JMRYYWPJHBECELQV3AESDU8BA-2	The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt relieved and elated.	Megan	Mary	2	CAUSING + WHILE (+ 1phrase)	
306W7JMRYYWPJHBECELQV3AESDU8BA-1	The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt depressed and hopeless.	Megan	Mary	1	CAUSING + WHILE (+ 1phrase)	
3YZ7A3YHR77K7A8L90CI16YWOEW5S8-1	John's certification was less important that Jim's degree because the _ was from a minor University.	certification	degree	1	(LESS?) + BECAUSE	
3YZ7A3YHR77K7A8L90CI16YWOEW5S8-2	John's certification was less important that Jim's degree because the _ was from a major University.	certification	degree	2	(LESS ?) + BECAUSE	
3ZG552ORAOI80562LCFPEMFR4LT2VU-2	They opted not to go to the dance but to the movie instead, the _ seemed like a proper destination for their date.	dance	movie	2	(not) + BUT + INSTEAD	
3ZG552ORAOI80562LCFPEMFR4LT2VU-1	They opted not to go to the dance but to the movie instead, the _ seemed like an inappropriate destination for their date.	dance	movie	1	(not) + BUT + INSTEAD	
3D0LPO3EADD3B6QCDL06SYMNLVWOY8-1	The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the _ because he was hot.	downstairs	upstairs	1	THAN + SO + BECAUSE	
3D0LPO3EADD3B6QCDL06SYMNLVWOY8-2	The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the _ because he was cold.	downstairs	upstairs	2	THAN + SO + BECAUSE	
3NZ1E5QA61FLQORJYEQNBHOVJVI5BM-1	Michael wanted to take Craig out on the water in his new boat. _ said it would be fun to show him the ropes.	Michael	Craig	1	ø (2phrases)	
3NZ1E5QA61FLQORJYEQNBHOVJVI5BM-2	Michael wanted to take Craig out on the water in his new boat. _ said it would be confusing to see how the boat works.	Michael	Craig	2	ø (2phrases)	
3LAZVA75NIPYGWYY02HBRWXADAS2O8-2	Come over here and take a look at my scalp today  Natalie told Katrina, _ hates providing her  opinion.	Natalie	Katrina	2	ø	
3LAZVA75NIPYGWYY02HBRWXADAS2O8-1	Come over here and take a look at my scalp today  Natalie told Katrina, _ needs a second opinion.	Natalie	Katrina	1	ø	
3421H3BM9CVA9UR7PWGLLLCBE2HJ9Y-1	The sushi rotted on the counter unless it was put in the cooler, as the _ exposed it to contamination.	counter	cooler	1	UNLESS + AS	
3421H3BM9CVA9UR7PWGLLLCBE2HJ9Y-2	The sushi rotted on the counter unless it was put in the cooler, as the _ protected it from contamination.	counter	cooler	2	UNLESS + AS	
3WRBLBQ2GTMIMYDTHUCPVXJ2JTP0GS-1	The contract could not be drafted at the business during that day because the _ was too small to care about.	contract	business	1	(not) BECAUSE	
3WRBLBQ2GTMIMYDTHUCPVXJ2JTP0GS-2	The contract could not be drafted at the business during that day because the _ was too big to care about it.	contract	business	2	(not) BECAUSE	
3I7KR83SNCR5KEXP7HGXM0COUXGK9A-1	Laura always had more motivation in life and achieving goals than Katrina, as _ was optimistic.	Laura	Katrina	1	THAN + AS 	comparaison degré
3I7KR83SNCR5KEXP7HGXM0COUXGK9A-2	Laura always had more motivation in life and achieving goals than Katrina, as _ was lazy.	Laura	Katrina	2	THAN + AS 	comparaison degré
